region,brand,cities,category,why_it_fits,status_flag,warm_door,build_out_signal,domain,domain_confidence,domain_note
California,Maxfield,"West Hollywood, Malibu",Multi-brand luxury concept,Gallery-grade space (custom Prouvé 'Nomade' adjunct); deep environment/art investment,,,,maxfieldla.com,high,
California,H. Lorenzo,"West Hollywood, DTLA Arts District",Avant-garde concept boutique,"Runs a separate 'Archive' concept space; design-led, reshaping footprint",,,,hlorenzo.com,high,
California,Just One Eye,Los Angeles (former Howard Hughes HQ),Luxury concept (fashion/jewelry/art/furniture),Inventive landmark-building interiors; discovery-driven destination,,,,justoneeye.com,high,
California,The Webster,"LA (Beverly Center), Palm Springs",Multi-brand luxury concept,David Adjaye-designed LA flagship — architecture is the brand,,yes,,thewebster.com,high,migrated from former thewebster.us; one domain for CA + FL stores
California,Mohawk General Store,Silver Lake / Echo Park (LA),Design-led multi-brand + in-house label,Dedicated space for own line; invests in distinct store environments,,,,mohawkgeneralstore.com,high,
California,Market Market,Palm Springs,Experiential concept emporium,"40,000 sq ft; WWD top-10 concept store globally",,,,shopmarketmarket.com,high,
California,Trina Turk / Mr Turk,Palm Springs,Resort fashion flagship,"5,000 sq ft flagship in landmark Albert Frey glass building",,,,trinaturk.com,high,
California,Senreve,San Francisco (Jackson Square),Luxury accessories flagship,"On-site monogramming/art customization, beauty bar, special lighting tech; refreshed monthly",,,,senreve.com,high,
California,Sigi's Boutique,La Jolla,Luxury fashion landmark,Landmark since 1968 on the 'Rodeo Drive of San Diego',,,,sigislajolla.com,high,
California,Coop (Maris Collective),Napa (Carneros Resort),Experiential resort-retail boutique,Bespoke resort-wear inside a destination resort,,,,mariscollective.com,medium,no standalone Coop domain; sells under parent Maris Collective
California,Hudson Grace,San Francisco + CA,Design-led home/lifestyle,Decorator destination; strong visual merchandising,,,,hudsongracesf.com,high,
California,Westime,"La Jolla/San Diego, LA (Sunset, Beverly Hills)",Luxury-watch specialist,Multi-boutique watch destination; high-design environments,,,,westime.com,high,
California,No.3 Fine Jewelry,San Francisco (Polk St),Independent fine jewelry,Design-forward custom/engagement showroom,,,,shopno3.com,high,
California,Kerns Fine Jewelry,Burlingame (Peninsula),Regional fine jewelry,Peninsula's premier jewelry/watch destination since 1948,,,,kernjewelers.com,high,
California,Rogers Jewelry Co.,"Modesto, Elk Grove, Folsom, Fresno, Bakersfield, SLO",Regional fine-jewelry house,Family house since 1937; expansive destination showrooms,,,,thinkrogers.com,high,
California,Roseark,West Hollywood,Fine jewelry + concept boutique,Design-led WeHo flagship; experiential format,,,,roseark.com,high,
California,Jacques Marie Mage,"Venice (Abbot Kinney), LA (Sycamore Ave)",Luxury eyewear / collectibles,"CA-HQ; boutiques as collector galleries, gallery lighting",,,,jacquesmariemage.com,high,
California,Fred Segal,West Hollywood (Melrose),Multi-brand concept,Acquired by Aritzia (Feb 2026) — include only if reviving flagship wanted,"flagged: Aritzia-owned Feb 2026, no longer independent",,,fredsegal.com,medium,"online store closed Jul 2024; Aritzia acquisition Feb 2026, Melrose revival in progress"
Mountain West & Utah,Gorsuch,"Vail, Beaver Creek, Aspen, Park City",Luxury ski/resort apparel & lifestyle,Category-defining mountain-luxury; multiple curated storefronts + new 'Ski Café' concept,,,,gorsuch.com,high,
Mountain West & Utah,Kemo Sabe,"Aspen, Vail, Park City, Jackson Hole (+ Whitefish MT)",High-end Western wear / custom hats & boots,In-store custom hat-shaping ritual is the draw; flagship culture across resort towns,,,,kemosabe.com,high,
Mountain West & Utah,Pitkin County Dry Goods,Aspen,Designer multi-brand boutique,"Aspen's original (1969) family clothier; Isabel Marant, Bode, Dries",,,,pitkincountydrygoods.com,high,
Mountain West & Utah,Axel's of Vail,Vail,Luxury men's & women's clothier,Family-owned Vail Village destination; rustic-chic interior + own denim,,,,axelsltd.com,high,
Mountain West & Utah,Cos Bar,"Aspen (flagship), Edwards CO",Luxury beauty specialty,Founded Aspen 1976; original flagship is high-touch destination,,,,cosbar.com,high,
Mountain West & Utah,Stio (Mountain Studio),Jackson Hole town square + Teton Village,Mountain-luxury apparel flagship,Both stores designed as experiential 'Mountain Studio' flagships,,,,stio.com,high,
Mountain West & Utah,Piper,Jackson Hole,Women's luxury boutique,Curated luxury-brand boutique downtown,,,,piperjacksonhole.com,high,
Mountain West & Utah,WRJ Design / WRJ Home,Jackson Hole,Luxury home design showroom,"25,000 sq ft 'Stags Landing' flagship (2024); architectural-lighting fit",,yes,yes,wrjdesign.com,high,WRJ Home showroom lives under the design firm's site
Mountain West & Utah,Meridian Jewelers,Aspen,Regional fine jeweler / timepieces,"Official Rolex (A. Lange, IWC, Kwiat) in former Hyde Park space",,,,meridianjewelers.com,high,
Mountain West & Utah,O.C. Tanner Jewelers,"Salt Lake City (flagship), Park City Main St",Utah regional fine jeweler,Flagship in restored Hansen Planetarium; architecture-forward; Official Rolex,,,,octannerjewelers.com,high,retail jeweler; distinct from octanner.com recognition co
Mountain West & Utah,Bennion Jewelers,Salt Lake City (City Creek area),Utah regional fine jeweler,Family-owned since 1862,,,,bennionjewelers.com,high,
Mountain West & Utah,Morgan Jewelers,Salt Lake City (City Creek Center),Utah regional fine jeweler,Family-owned since 1941; flagship in City Creek,,,,morganjewelers.com,high,
Mountain West & Utah,Elle Rose SV,Sun Valley ID,Luxury fashion & fine jewelry,Two adjacent Sun Valley Rd flagships; built-out footprint,,,,ellerosesv.com,high,
Mountain West & Utah,The Brass Ranch,Sun Valley ID,High-end ski/sportswear & footwear,Long-standing Sun Valley luxury destination,,,,sunvalley.com,medium,resort-owned (email brassranch@sunvalley.com); brassranch.com no longer resolves
Mountain West & Utah,Panache,Sun Valley ID + Park City UT,Luxury/contemporary womenswear,Multi-resort-town independent,,,,panachesunvalley.com,high,one site covers Sun Valley + Park City
Mountain West & Utah,Belle Cose / Belle Shops,Big Sky MT (Town Center),Luxury boutique (apparel & lifestyle),Big Sky's anchor luxury boutique,,,,belleshops.com,high,rebranded as Belle Shops
